,Price
966,"RM 1,350,000"
967,"RM 950,000"
968,"RM 2,280,000"
969,"RM 1,150,000"
970,"RM 3,600,000"
971,"RM 1,400,000"
972,"RM 398,000"
973,"RM 1,890,000"
974,"RM 561,100"
975,"RM 710,550"
976,"RM 1,818,500"
977,"RM 486,000"
978,"RM 2,535,300"
979,"RM 1,804,275"
980,"RM 2,600,000"
981,"RM 1,280,000"
982,"RM 850,000"
983,"RM 3,300,000"
984,"RM 3,400,000"
985,"RM 2,380,000"
986,"RM 1,550,000"
987,"RM 2,800,000"
988,"RM 3,500,000"
989,"RM 3,150,000"
990,"RM 2,900,000"
991,"RM 3,650,000"
992,"RM 3,600,000"
993,"RM 3,880,000"
994,"RM 4,800,000"
995,"RM 920,000"
996,"RM 1,580,000"
997,"RM 6,300,000"
998,"RM 1,580,000"
999,"RM 1,100,000"
1000,"RM 2,990,000"
1001,"RM 2,800,000"
1002,"RM 6,200,000"
1003,"RM 1,800,000"
1004,"RM 1,300,000"
1005,"RM 1,430,000"
1006,"RM 1,600,000"
1007,"RM 3,500,000"
1008,"RM 1,050,000"
1009,"RM 1,530,000"
1010,"RM 1,400,000"
1011,"RM 1,170,000"
1012,"RM 1,599,000"
1013,"RM 900,000"
1014,"RM 1,600,000"
1015,"RM 1,330,000"
1016,"RM 2,940,000"
1017,"RM 1,131,760"
1018,"RM 3,200,000"
1019,"RM 2,950,000"
1020,"RM 3,680,000"
1021,"RM 2,890,000"
1022,"RM 1,138,060"
1023,"RM 2,600,000"
1024,"RM 1,080,000"
1025,"RM 7,150,000"
1026,"RM 1,200,000"
1027,"RM 4,550,000"
1028,"RM 1,900,000"
1029,"RM 12,350,000"
1030,"RM 1,100,000"
1031,"RM 5,300,000"
1032,"RM 1,730,000"
1033,"RM 1,180,000"
1034,"RM 5,600,000"
1035,"RM 3,490,000"
1036,"RM 5,670,000"
1037,"RM 2,050,000"
1038,"RM 1,520,000"
1039,"RM 1,980,000"
1040,"RM 989,000"
1041,"RM 883,000"
1042,"RM 1,208,000"
1043,"RM 588,000"
1044,"RM 1,130,000"
1045,"RM 790,000"
1046,"RM 1,350,000"
1047,"RM 1,530,000"
1048,"RM 1,550,000"
1049,"RM 2,300,000"
1050,"RM 1,550,000"
1051,"RM 2,350,000"
1052,"RM 8,100,000"
1053,"RM 2,250,000"
1054,"RM 2,400,000"
1055,"RM 2,850,000"
1056,"RM 3,468,000"
1057,"RM 948,888"
1058,"RM 4,000,000"
1059,"RM 3,170,000"
1060,"RM 1,900,000"
1061,"RM 1,400,000"
1062,"RM 2,850,000"
1063,"RM 1,400,000"
1064,"RM 2,990,000"
1065,"RM 1,900,000"
1066,"RM 1,900,000"
1067,"RM 2,250,000"
1068,"RM 4,690,000"
1069,"RM 1,280,000"
1070,"RM 1,850,000"
1071,"RM 2,800,000"
1072,"RM 1,500,000"
1073,"RM 4,200,000"
1074,"RM 1,550,000"
1075,"RM 2,800,000"
1076,"RM 1,480,000"
1077,"RM 4,700,000"
