,Location,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
320,"Sungai Besi, Kuala Lumpur",3,2.0,2.0,Condominium,"Built-up : 1,184 sq. ft.",Partly Furnished
321,"Taman Tun Dr Ismail, Kuala Lumpur",3,3.0,2.0,Serviced Residence (Intermediate),"Built-up : 1,690 sq. ft.",Partly Furnished
322,"Wangsa Maju, Kuala Lumpur",3+1,3.0,2.0,Condominium (Penthouse),"Built-up : 2,300 sq. ft.",Partly Furnished
323,"Bukit Jalil, Kuala Lumpur",3,3.0,2.0,Condominium,"Built-up : 1,023 sq. ft.",Partly Furnished
324,"Setapak, Kuala Lumpur",3,2.0,,Apartment,Built-up : 715 sq. ft.,Fully Furnished
325,"Desa ParkCity, Kuala Lumpur",4+1,5.0,4.0,3-sty Terrace/Link House (Intermediate),Land area : 2045 sq. ft.,Partly Furnished
326,"Dutamas, Kuala Lumpur",3,3.0,2.0,Condominium (Corner),"Built-up : 1,506 sq. ft.",Partly Furnished
327,"Dutamas, Kuala Lumpur",3,2.0,1.0,Condominium,"Built-up : 1,253 sq. ft.",Partly Furnished
328,"Bangsar, Kuala Lumpur",5+1,7.0,,Condominium,"Built-up : 6,913 sq. ft.",Partly Furnished
329,"Kepong, Kuala Lumpur",4,3.0,,2-sty Terrace/Link House (Intermediate),Land area : 22x70 sq. ft.,Fully Furnished
330,"Kuchai Lama, Kuala Lumpur",3,2.0,1.0,Condominium,"Built-up : 1,120 sq. ft.",Fully Furnished
331,"KLCC, Kuala Lumpur",3+1,4.0,,Serviced Residence,"Built-up : 2,343 sq. ft.",Unfurnished
332,"KL Sentral, Kuala Lumpur",3+1,3.0,1.0,Condominium,"Built-up : 1,532 sq. ft.",Fully Furnished
333,"Ampang, Kuala Lumpur",5+1,6.0,4.0,Bungalow (Corner),"Built-up : 3,821 sq. ft.",Partly Furnished
334,"Taman Melawati, Kuala Lumpur",6+1,7.0,3.0,Bungalow (Corner),Land area : 5300 sq. ft.,Partly Furnished
335,"Cheras, Kuala Lumpur",5+1,6.0,5.0,Bungalow,Land area : 8000 sq. ft.,Partly Furnished
336,"KL Sentral, Kuala Lumpur",3+1,3.0,,Condominium,"Built-up : 1,529 sq. ft.",Partly Furnished
337,"Sentul, Kuala Lumpur",3,2.0,,Condominium (Intermediate),"Built-up : 1,076 sq. ft.",Partly Furnished
338,"Sri Hartamas, Kuala Lumpur",4+1,6.0,,Semi-detached House (Corner),Land area : 6100 sq. ft.,Fully Furnished
339,"Bangsar, Kuala Lumpur",5+2,6.0,7.0,Bungalow,"Land area : 12,142 sq. ft.",
340,"Mont Kiara, Kuala Lumpur",2,2.0,,Serviced Residence,Built-up : 917 sq. ft.,Fully Furnished
341,"Dutamas, Kuala Lumpur",3+1,3.0,1.0,Condominium,"Built-up : 2,012 sq. ft.",Partly Furnished
342,"OUG, Kuala Lumpur",6+1,6.0,6.0,Bungalow (Corner),Land area : 5000 sq. ft.,Partly Furnished
343,"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",2,2.0,2.0,Condominium (Intermediate),"Built-up : 1,164 sq. ft.",Fully Furnished
